Order ID,Order Date,Product,Price,Currency,Qty,Buyer email,Status,Buyer question
N9HUG6XGSL,2026-06-20 08:30:09,Freelance Client Hub — Notion Template,29.00,USD,1,oscarschmidt@hotmail.com,Completed,
4VCAF2YCGK,2026-06-20 14:26:35,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,oscarschmidt@hotmail.com,Completed,
ERMJZLWLBZ,2026-06-21 08:12:14,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,ethancastillo@icloud.com,Completed,
AJYMUS332V,2026-06-22 19:47:23,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,theo.schmidt@hotmail.com,Completed,
CF4FYYVEGB,2026-06-23 09:45:28,Content Planner Pro — Notion Template,19.00,USD,1,emma.weber@icloud.com,Completed,
9MEJKTFNTQ,2026-06-23 19:03:51,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,nora.bennett@hey.com,Completed,
A9GTCSHDX2,2026-06-24 16:22:43,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,jamesrossi@proton.me,Completed,
KS7A8R8KM9,2026-06-25 12:59:13,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,alex.silva@hotmail.com,Completed,
RDJLH3FABJ,2026-06-26 11:57:39,Freelance Client Hub — Notion Template,29.00,USD,1,alex.patel@icloud.com,Completed,
RRMXDP66PE,2026-06-27 15:00:37,Minimal Finance Tracker — Notion Template,9.00,USD,1,claire.moreau84@gmail.com,Completed,
4N5M45J2A9,2026-06-27 18:38:08,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,oscarschmidt@hotmail.com,Completed,
ZEHE9EYK2A,2026-06-27 21:50:17,Freelance Client Hub — Notion Template,29.00,USD,1,milesgraham@hey.com,Completed,
C96697JG27,2026-06-28 12:08:59,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,theo.schmidt@hotmail.com,Completed,
BNHNRNJRLL,2026-06-29 15:57:23,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,milesgraham@hey.com,Completed,
MZSZX72WLL,2026-06-29 21:43:43,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,liam.romero57@icloud.com,Completed,
WKNQPG7J2L,2026-06-30 08:16:17,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,sofia.carter@outlook.com,Completed,
DHXJQB99MH,2026-06-30 18:43:12,Freelance Client Hub — Notion Template,29.00,USD,1,islakeller@icloud.com,Completed,
L3KMK45PNF,2026-07-01 18:27:22,Minimal Finance Tracker — Notion Template,9.00,USD,1,leo.dorsey78@gmail.com,Completed,
JUNT5JMSZR,2026-07-01 20:06:14,Content Planner Pro — Notion Template,19.00,USD,1,theocastillo@hotmail.com,Completed,
UBJ94YF49Y,2026-07-02 10:57:52,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,ella.barnes62@outlook.com,Completed,
D2BBK96QCS,2026-07-03 11:18:18,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,claire.moreau84@gmail.com,Completed,
GKA4MU9RJQ,2026-07-03 20:22:03,Content Planner Pro — Notion Template,19.00,USD,1,liam.reid@proton.me,Completed,
K7MWJJKS9Y,2026-07-04 08:26:53,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,miles.ali87@hotmail.com,Completed,
8VSWMQANZL,2026-07-04 12:18:28,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,norarossi@outlook.com,Completed,
P4VCA3C2CT,2026-07-05 13:11:04,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,miles.ali87@hotmail.com,Completed,
N5ZSP22TZK,2026-07-05 16:27:23,Minimal Finance Tracker — Notion Template,9.00,USD,1,elijah.walsh75@hey.com,Completed,
T2LDZABZ3K,2026-07-06 11:00:50,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,oliver.sullivan@proton.me,Completed,
VHNVXEP8S5,2026-07-06 13:09:08,Content Planner Pro — Notion Template,19.00,USD,1,claire.foster@hotmail.com,Completed,
4C2GL84GS3,2026-07-07 18:17:29,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,mianovak@yahoo.com,Refunded,
B9ML4AGGJM,2026-07-07 18:30:57,Content Planner Pro — Notion Template,19.00,USD,1,elijah.walsh75@hey.com,Completed,
5JKLVGTM8Y,2026-07-08 08:24:18,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,ivy.price79@yahoo.com,Completed,
FAGER4G6VJ,2026-07-08 11:56:59,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,theo.schmidt@hotmail.com,Completed,Any discount code for buying two products at once?
9PSXSK7344,2026-07-09 13:59:29,Content Planner Pro — Notion Template,19.00,USD,1,ruby.dorsey55@proton.me,Completed,
MPYS8A7QMT,2026-07-09 16:02:43,Freelance Client Hub — Notion Template,29.00,USD,1,ruby.kennedy@gmail.com,Completed,
P25L7DBUDA,2026-07-10 20:04:54,Content Planner Pro — Notion Template,19.00,USD,1,lucas.romero@gmail.com,Completed,
X2Z987H4GH,2026-07-10 21:19:13,Content Planner Pro — Notion Template,19.00,USD,1,lucas.ellis60@proton.me,Completed,
D66VYQWCB5,2026-07-11 15:46:23,Content Planner Pro — Notion Template,19.00,USD,1,charlotte.walsh74@gmail.com,Completed,
7EGD76S87X,2026-07-11 17:15:04,Freelance Client Hub — Notion Template,29.00,USD,1,mia.morgan@gmail.com,Completed,
C4ZLGUE52G,2026-07-11 18:16:39,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,claire.brooks11@hotmail.com,Completed,
D43QBSE9UL,2026-07-12 08:30:40,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,noah.foster@icloud.com,Completed,
L56PFFSLXQ,2026-07-12 21:56:55,Content Planner Pro — Notion Template,19.00,USD,1,charlotte.price@hey.com,Completed,
NPVNTD94CM,2026-07-13 13:18:08,Content Planner Pro — Notion Template,19.00,USD,1,theo.keller37@proton.me,Completed,
BVX7VC9WG9,2026-07-13 16:31:23,Minimal Finance Tracker — Notion Template,9.00,USD,1,miles.ali87@hotmail.com,Completed,"How do I duplicate this template in Notion? Total beginner here, sorry!"
EP4H2A2BUQ,2026-07-14 10:41:21,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,sampatel@yahoo.com,Completed,
Z59H57SBV4,2026-07-14 15:28:20,Freelance Client Hub — Notion Template,29.00,USD,1,leo.dorsey78@gmail.com,Completed,
4E7AFQ7MQN,2026-07-15 13:07:57,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,theo.schmidt@hotmail.com,Completed,
JZ3MUUD7RH,2026-07-15 21:51:03,Content Planner Pro — Notion Template,19.00,USD,1,claire.brooks11@hotmail.com,Refunded,
F6WDBKA63Y,2026-07-16 09:57:32,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,henrybrooks@hey.com,Completed,
36F647G9DU,2026-07-16 15:08:54,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,claire.foster95@outlook.com,Completed,
7J47AP7CDZ,2026-07-16 22:59:30,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,lucas.patel93@hotmail.com,Completed,
BMJ8EFXFDQ,2026-07-17 19:58:21,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,lucasschmidt@yahoo.com,Completed,Can I get an invoice with my business name on it?
JVUW5UPN3A,2026-07-17 21:15:40,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,isla.johansson@proton.me,Completed,I bought the ebook but the download link expired — can you resend it please?
7XC83UTWYQ,2026-07-18 09:45:15,Content Planner Pro — Notion Template,19.00,USD,1,elijah.kim@yahoo.com,Completed,
DUD3PLH74L,2026-07-18 17:16:26,Content Planner Pro — Notion Template,19.00,USD,1,james.barnes@yahoo.com,Completed,
LANG6U7F52,2026-07-18 17:28:16,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,claire.fleming@outlook.com,Completed,
ATULBA43ED,2026-07-19 09:08:40,Minimal Finance Tracker — Notion Template,9.00,USD,1,benjaminparker@hey.com,Completed,
LB36NDNDBW,2026-07-19 10:15:21,Content Planner Pro — Notion Template,19.00,USD,1,nora.okafor21@proton.me,Completed,
PJZ7QZCN5Z,2026-07-19 14:34:22,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,liam.dorsey29@outlook.com,Completed,
KC554GHU3H,2026-07-20 12:06:29,Content Planner Pro — Notion Template,19.00,USD,1,lucas.schmidt@gmail.com,Completed,
JGADZU9RUT,2026-07-20 13:28:52,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,henry.rossi@hey.com,Completed,
JBEAAK28YE,2026-07-21 09:08:12,Freelance Client Hub — Notion Template,29.00,USD,1,theo.sullivan21@yahoo.com,Completed,
D5A8U6KCD3,2026-07-21 12:23:56,Freelance Client Hub — Notion Template,29.00,USD,1,aria.dubois@yahoo.com,Completed,Does the Client Hub sync with Google Calendar?
XU9YWNEHJT,2026-07-22 08:10:29,Freelance Client Hub — Notion Template,29.00,USD,1,julian.schmidt@gmail.com,Completed,
7HA4D8JCXJ,2026-07-22 09:26:30,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,ruby.holland@outlook.com,Completed,Are these presets compatible with Lightroom Classic on desktop?
BNTT2AXBQV,2026-07-22 10:33:54,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,hannah.kennedy@proton.me,Completed,
RHP996QMLN,2026-07-22 14:29:14,Minimal Finance Tracker — Notion Template,9.00,USD,1,theokennedy@outlook.com,Refunded,The template is a bit too basic for my needs. Can I get a refund?
HC3B773TZC,2026-07-23 10:46:48,Content Planner Pro — Notion Template,19.00,USD,1,naomifischer@yahoo.com,Completed,Do you offer a student discount? I'm a design student on a budget.
LRUL6U7MFR,2026-07-23 20:14:22,Content Planner Pro — Notion Template,19.00,USD,1,oscar.ali@yahoo.com,Completed,
BVDW4HTCTK,2026-07-24 19:59:15,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,sofia.kim@hotmail.com,Completed,
BLA8J9RFCA,2026-07-24 22:46:04,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,charlotte.rossi47@proton.me,Completed,
AZVWB2EQAT,2026-07-25 13:43:30,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,isla.barnes@yahoo.com,Completed,
UGNNDRJHCK,2026-07-25 19:28:34,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,harper.bennett66@yahoo.com,Completed,
BXFJXA79LJ,2026-07-25 20:02:49,Minimal Finance Tracker — Notion Template,9.00,USD,1,isla.foster@hotmail.com,Completed,
C9Y9H46PXW,2026-07-25 21:06:49,Content Planner Pro — Notion Template,19.00,USD,1,sam.castillo@icloud.com,Completed,
TUEF76G8QT,2026-07-26 10:43:09,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,samreid@hey.com,Completed,
4NJYSQFYL2,2026-07-26 14:14:39,Content Planner Pro — Notion Template,19.00,USD,1,noah.brooks19@hotmail.com,Completed,
VPKP9KCPHZ,2026-07-26 17:19:17,Content Planner Pro — Notion Template,19.00,USD,1,sam.fleming80@outlook.com,Completed,
B8N43UR3K8,2026-07-27 10:39:01,Content Planner Pro — Notion Template,19.00,USD,1,noah.walsh@hey.com,Completed,Can I use this template for client work if I credit StudioNova in my portfolio?
YQSTZH562D,2026-07-27 12:59:10,Content Planner Pro — Notion Template,19.00,USD,1,felix.ali@gmail.com,Completed,
4U426VLE5K,2026-07-27 22:51:39,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,gracesilva@outlook.com,Completed,
9PAU8QU2T3,2026-07-28 10:11:08,Freelance Client Hub — Notion Template,29.00,USD,1,isla.tanaka@yahoo.com,Completed,
SF68TTHDAG,2026-07-28 17:32:54,Content Planner Pro — Notion Template,19.00,USD,1,ella.romero28@hotmail.com,Completed,
F99W9ALLD9,2026-07-28 20:02:38,Content Planner Pro — Notion Template,19.00,USD,1,oliver.fischer71@hey.com,Completed,
CVJ6FQPB97,2026-07-28 20:56:16,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,mia.schmidt@icloud.com,Completed,
NR2DRWV64Z,2026-07-28 21:11:56,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,liam.patel@yahoo.com,Completed,
JNT2PC5DKC,2026-07-29 09:16:38,Freelance Client Hub — Notion Template,29.00,USD,1,benjamin.fleming@hey.com,Completed,
XSDNJG5W75,2026-07-29 12:14:17,Freelance Client Hub — Notion Template,29.00,USD,1,lily.castillo@outlook.com,Completed,
FNUBRXRL8P,2026-07-30 09:56:59,Content Planner Pro — Notion Template,19.00,USD,1,ava.romero@yahoo.com,Completed,
DF4VTTB5WU,2026-07-30 12:57:12,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,harperlarsen@hey.com,Completed,Does the bundle include lifetime updates? I want to buy it for my whole team.
JPNEZRNQZG,2026-07-31 08:34:43,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,emmacastillo@hey.com,Completed,Do you have a preset pack for outdoor shoots? These are perfect for studio light.
PXRPZL88VC,2026-07-31 09:06:05,Content Planner Pro — Notion Template,19.00,USD,1,noah.fleming80@yahoo.com,Completed,Do you have a meal planner template? Looking for a weekly meal prep system for my family.
JGAYUYE38G,2026-07-31 14:10:26,Content Planner Pro — Notion Template,19.00,USD,1,juliankeller@yahoo.com,Completed,
WLSM9ZUHJZ,2026-07-31 19:15:03,Minimal Finance Tracker — Notion Template,9.00,USD,1,felix.tanaka38@proton.me,Completed,Any chance of a habit tracker? Your finance template is great but I need habits too.
FWDGGQJB7Y,2026-07-31 19:56:02,Freelance Client Hub — Notion Template,29.00,USD,1,ava.walsh@outlook.com,Completed,
TBXP96CFQ5,2026-08-01 08:48:46,Content Planner Pro — Notion Template,19.00,USD,1,miles.larsen@yahoo.com,Completed,
3QX9ETPK63,2026-08-01 13:06:17,Freelance Client Hub — Notion Template,29.00,USD,1,naomiprice@icloud.com,Completed,Do you sell a resume template for freelancers? Something clean and minimal would be perfect.
NAZE2PBSQV,2026-08-01 17:36:29,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,noah.hughes69@gmail.com,Completed,
SE6FWCNNJ9,2026-08-01 19:40:21,Freelance Client Hub — Notion Template,29.00,USD,1,layla.keller@outlook.com,Completed,
5T35729H5A,2026-08-02 10:08:12,Content Planner Pro — Notion Template,19.00,USD,1,benjaminkennedy@yahoo.com,Completed,Do you make templates for wedding planners? I need a client tracker and invoice log.
G5C522MZ82,2026-08-02 14:58:38,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,samwalsh@gmail.com,Completed,
9Z5VKK7UJA,2026-08-02 22:18:04,Content Planner Pro — Notion Template,19.00,USD,1,lucasweber@icloud.com,Completed,
3UM6LGKAJP,2026-08-03 12:39:42,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,lily.sullivan18@proton.me,Completed,
CPCM8FWBLW,2026-08-03 13:20:36,Content Planner Pro — Notion Template,19.00,USD,1,felix.kim93@hotmail.com,Completed,
PVAKBKHLQX,2026-08-03 13:54:07,Content Planner Pro — Notion Template,19.00,USD,1,hannah.morgan12@proton.me,Completed,
LYTB6VGFUY,2026-08-03 14:03:10,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,alex.schmidt@proton.me,Completed,Would you consider a course on building a content system in Notion? I'd buy it in a heartbeat.
